iter	R2	RMSE
0	0.0118704361	0.2961653335
1	0.023329832	0.2944430022
2	0.03499324605	0.2926795997
3	0.04605965415	0.2909965798
4	0.05710125601	0.2893075747
5	0.06702291919	0.2877814282
6	0.07821808648	0.2860496148
7	0.08851836593	0.284446921
8	0.0979512014	0.2829712363
9	0.1078955095	0.281407157
10	0.1176052339	0.2798715401
11	0.1262632962	0.2784951048
12	0.1364440716	0.276867839
13	0.1454229367	0.2754247045
14	0.1543946612	0.2739751252
15	0.1634538969	0.2725035825
16	0.1722432873	0.2710682373
17	0.1802614398	0.269752177
18	0.1888599929	0.2683336802
19	0.1973243157	0.266929965
20	0.2052263681	0.2656128006
21	0.2138020541	0.2641759199
22	0.2208160063	0.2629948761
23	0.229224494	0.2615719852
24	0.2360410764	0.2604127717
25	0.243737212	0.25909775
26	0.2510138809	0.2578482335
27	0.2587724206	0.2565092678
28	0.2652515543	0.2553857224
29	0.2721201038	0.2541892257
30	0.2787723928	0.2530250079
31	0.2853715723	0.2518647677
32	0.2922634201	0.2506473385
33	0.2985941533	0.2495237949
34	0.3050620662	0.2483706565
35	0.3116526215	0.2471901194
36	0.3166790018	0.2462859626
37	0.322384078	0.2452556816
38	0.3284112961	0.2441625024
39	0.3349441953	0.2429720512
40	0.3407085278	0.2419167866
41	0.3467055623	0.2408140137
42	0.3526105697	0.2397232066
43	0.3585792566	0.2386155688
44	0.3639814113	0.2376086136
45	0.3692502406	0.2366223824
46	0.3749291742	0.2355547632
47	0.3797639973	0.2346420055
48	0.384572915	0.2337306026
49	0.3895264191	0.2327880664
50	0.39418855	0.2318974722
51	0.3994828723	0.2308819466
52	0.4041039619	0.2299918915
53	0.4083512386	0.2291707868
54	0.4126167954	0.2283431764
55	0.4166637457	0.2275551979
56	0.4214792265	0.2266140096
57	0.42571275	0.2257833244
58	0.4303340831	0.2248730416
59	0.4349477883	0.2239605707
60	0.4387076646	0.2232142065
61	0.4427562121	0.2224077384
62	0.4470857547	0.2215420477
63	0.4509558067	0.2207653588
64	0.4550411917	0.2199424783
65	0.4587260617	0.21919762
66	0.4624998689	0.2184321514
67	0.4663117176	0.2176562336
68	0.4697264994	0.2169587841
69	0.4730687338	0.216273974
70	0.4765981933	0.2155484403
71	0.4799692326	0.2148531848
72	0.4832061597	0.214183465
73	0.486749042	0.2134480346
74	0.4899211046	0.2127874222
75	0.4934021564	0.2120600915
76	0.4968445433	0.2113383778
77	0.5000173718	0.2106709887
78	0.502696576	0.2101057803
79	0.5057946326	0.2094503087
80	0.5088142175	0.2088094597
81	0.5118127988	0.2081711161
82	0.5151084039	0.2074672759
83	0.5179672119	0.2068547824
84	0.5203328588	0.2063465729
85	0.523372496	0.2056917276
86	0.5262908922	0.2050610342
87	0.5289981376	0.2044742332
88	0.5319828095	0.2038253415
89	0.5347972987	0.2032115507
90	0.5376541975	0.2025866092
91	0.5404167049	0.2019804769
92	0.5432485162	0.2013572445
93	0.5460166478	0.2007461568
94	0.5486159399	0.2001706435
95	0.5508493449	0.1996748168
96	0.5535001479	0.1990847232
97	0.5559304141	0.1985421821
98	0.55839931	0.1979894949
99	0.5607632123	0.1974588618
100	0.5631564502	0.1969201871
